num_cities,pop_size,generations,mutation_rate,num_parents,best_distance,execution_time_seconds
10,50,100,0.01,20,3.1024,0.336
10,50,100,0.05,10,2.9767,0.366
10,50,100,0.05,20,3.3775,0.273
10,50,200,0.01,10,2.9123,0.5226
10,50,200,0.01,20,2.9479,0.4876
10,50,200,0.05,10,2.7714,0.5313
10,50,200,0.05,20,2.9522,0.6002
10,100,100,0.01,10,3.1889,0.5138
10,100,100,0.01,20,2.8246,0.5655
10,100,100,0.05,10,2.8038,0.5291
10,100,100,0.05,20,2.9942,0.6205
10,100,200,0.01,10,2.5323,1.0211
10,100,200,0.01,20,3.1806,1.2641
10,100,200,0.05,10,2.5768,1.5618
10,100,200,0.05,20,2.7004,1.3536
10,1000,100,0.01,10,2.7585,7.5394
10,1000,100,0.01,20,3.0877,5.9388
10,1000,100,0.05,10,2.7136,4.9123
10,1000,100,0.05,20,2.8553,5.177
10,1000,200,0.01,10,3.1161,10.5983
10,1000,200,0.01,20,2.8121,11.3021
10,1000,200,0.05,10,3.4593,9.6487
10,1000,200,0.05,20,3.2889,9.3577
20,50,100,0.01,10,5.6896,0.4401
20,50,100,0.01,20,4.1689,0.5222
20,50,100,0.05,10,3.8311,0.532
20,50,100,0.05,20,4.0246,0.471
20,50,200,0.01,10,5.0952,1.0242
20,50,200,0.01,20,4.835,1.021
20,50,200,0.05,10,4.4904,1.1678
20,50,200,0.05,20,4.9378,0.9928
20,100,100,0.01,10,6.4243,0.9189
20,100,100,0.01,20,4.4869,0.9355
20,100,100,0.05,10,4.5572,0.9179
20,100,100,0.05,20,3.9717,1.0242
20,100,200,0.01,10,4.3499,1.8044
20,100,200,0.01,20,4.3383,1.8019
20,100,200,0.05,10,5.2242,1.7687
20,100,200,0.05,20,4.5044,1.9585
20,1000,100,0.01,10,4.0207,9.2995
20,1000,100,0.01,20,3.5157,10.4515
20,1000,100,0.05,10,4.2452,9.5273
20,1000,100,0.05,20,4.0673,9.2772
20,1000,200,0.01,10,3.665,20.2861
20,1000,200,0.01,20,3.8866,24.6217
20,1000,200,0.05,10,4.2426,27.2926
20,1000,200,0.05,20,3.7781,20.4719
50,50,100,0.01,10,15.1519,1.0985
50,50,100,0.01,20,12.5574,1.2142
50,50,100,0.05,10,10.188,1.2115
50,50,100,0.05,20,12.9885,1.1997
50,50,200,0.01,10,12.9213,2.9339
50,50,200,0.01,20,12.3966,4.0279
50,50,200,0.05,10,10.8505,3.2939
50,50,200,0.05,20,11.0742,2.9608
50,100,100,0.01,10,12.7933,2.4018
